Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [238/500], Loss: 0.1082, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [239/500], Loss: 0.1081, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [240/500], Loss: 0.1079, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [241/500], Loss: 0.1078, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [242/500], Loss: 0.1075, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [243/500], Loss: 0.1075, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [244/500], Loss: 0.1074, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [245/500], Loss: 0.1072, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [246/500], Loss: 0.1071, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [247/500], Loss: 0.1068, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [248/500], Loss: 0.1067, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [249/500], Loss: 0.1069, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [250/500], Loss: 0.1066, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [251/500], Loss: 0.1067, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [252/500], Loss: 0.1064, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [253/500], Loss: 0.1062, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
